
... ... ... ... ... ... 137 138 139 ... ... ... ... ... ...
... 001 130 ... ... ... ... ... ... ... ... ... 144 167 ...
... 128 ... 224 223 ... ... 156 ... ... 161 164 ... 166 ...
... ... 126 ... ... ... 154 155 158 ... ... ... 174 ... ...
... ... 123 ... ... 220 ... ... ... 184 ... ... 175 ... ...
... ... ... ... 118 ... ... ... ... ... 186 ... ... ... ...
009 ... ... 032 ... ... 113 114 215 ... ... 188 ... ... 191
012 ... 030 035 ... ... 108 107 106 ... ... 205 200 ... 192
013 ... ... 036 ... ... 109 104 105 ... ... 204 ... ... 193
... ... ... ... 038 ... ... ... ... ... 208 ... ... ... ...
... ... 041 ... ... 058 ... ... ... 210 ... ... 093 ... ...
... ... 046 ... ... ... 062 099 098 ... ... ... 092 ... ...
... 024 ... 048 055 ... ... 072 ... ... 075 080 ... 082 ...
... 023 022 ... ... ... ... ... ... ... ... ... 084 083 ...
... ... ... ... ... ... 065 066 067 ... ... ... ... ... ...

1.1:	  3
# cel(len) met slechts 1 enkele kandidaat: (1.1=3) (1.14=168) (1.15=169) (2.15=170) (3.1=5) (3.13=165) (3.15=171) (4.15=172) (5.1=7) (5.7=219) (5.8=218) (5.9=217) (5.15=177) (4.14=173) (6.2=121) (6.4=119) (5.5=221) (4.6=153) (6.6=117) (6.7=116) (6.8=115) (6.9=216) (6.10=185) (6.15=178) (5.14=176) (7.3=31) (7.5=33) (7.6=112) (7.10=214) (7.11=187) (8.5=34) (8.6=111) (8.10=213) (8.11=206) (9.2=28) (9.3=29) (8.2=11) (9.5=37) (9.6=110) (9.10=212) (9.11=207) (10.1=14) (10.6=59) (10.9=102) (10.7=60) (11.8=100) (11.9=101) (10.8=103) (11.7=61) (11.14=196) (10.15=194) (11.15=195) (10.14=197) (6.14=179) (6.12=181) (4.12=163) (5.11=183) (4.10=159) (10.12=203) (12.14=91) (12.15=90) (13.1=17) (13.3=47) (13.13=81) (13.15=89) (14.1=18) (14.15=88) (15.1=19) (15.2=20) (15.6=52) (15.4=50) (14.5=54) (13.6=56) (12.5=44) (12.1=16) (15.10=68) (14.9=70) (14.7=64) (15.11=77) (12.10=97) (15.12=78) (11.12=94) (15.13=85) (14.12=79) (12.12=95) (11.11=209) (10.10=211) (15.14=86) (14.11=76) (12.11=96) (13.10=74) (15.15=87) (14.10=69) (14.8=71) (13.9=73)

003 ... ... ... ... ... 137 138 139 ... ... ... ... 168 169
... 001 130 ... ... ... ... ... ... ... ... ... 144 167 170
005 128 ... 224 223 ... ... 156 ... ... 161 164 165 166 171
... ... 126 ... ... 153 154 155 158 159 ... 163 174 173 172
007 ... 123 ... 221 220 219 218 217 184 183 ... 175 176 177
... 121 ... 119 118 117 116 115 216 185 186 181 ... 179 178
009 ... 031 032 033 112 113 114 215 214 187 188 ... ... 191
012 011 030 035 034 111 108 107 106 213 206 205 200 ... 192
013 028 029 036 037 110 109 104 105 212 207 204 ... ... 193
014 ... ... ... 038 059 060 103 102 211 208 203 ... 197 194
... ... 041 ... ... 058 061 100 101 210 209 094 093 196 195
016 ... 046 ... 044 ... 062 099 098 097 096 095 092 091 090
017 024 047 048 055 056 ... 072 073 074 075 080 081 082 089
018 023 022 ... 054 ... 064 071 070 069 076 079 084 083 088
019 020 ... 050 ... 052 065 066 067 068 077 078 085 086 087

1.2:	  2 132
1.3:	  131 133
1.4:	  132 134
1.5:	  133 135
1.6:	  134 136
1.10:	* 140
1.11:	* 141
1.12:	* 142
1.13:	* 143
2.1:	  2 4
2.4:	  131 133 225
2.5:	  132 134
2.6:	  133 135 151
2.7:	* 134 136 150
2.8:	* 135 149
2.9:	* 140 148
2.10:	* 141 147
2.11:	* 142 146
2.12:	* 143 145
3.3:	  127 129 225
3.6:	* 134 152
3.7:	* 135 151
3.9:	* 157
3.10:	* 160
4.1:	* 6
4.2:	* 125 127
4.4:	* 125 225
4.5:	* 222
4.11:	* 160 162
5.2:	* 122 124
5.4:	* 124
5.12:	* 182
6.1:	* 8
6.3:	  120 122
6.13:	* 180
7.2:	* 10
7.13:	* 189
7.14:	* 190
8.14:	* 199
9.13:	* 199 201
9.14:	* 198
10.2:	* 27
10.3:	* 40
10.4:	* 39
10.13:	* 198 202
11.1:	* 15
11.2:	* 26
11.4:	* 40 42
11.5:	* 39 43
12.2:	* 25
12.4:	* 43 45
12.6:	* 57
13.7:	* 63
14.4:	* 49
14.6:	* 53
15.3:	* 21
15.5:	  51 53

# cel(len) met slechts 1 enkele kandidaat: (1.10=140) (1.11=141) (1.12=142) (1.13=143) (2.9=148) (2.10=147) (2.11=146) (2.12=145) (3.9=157) (3.10=160) (4.1=6) (4.5=222) (4.11=162) (5.4=124) (5.2=122) (5.12=182) (6.1=8) (6.3=120) (6.13=180) (7.2=10) (7.13=189) (7.14=190) (8.14=199) (9.13=201) (9.14=198) (10.2=27) (10.3=40) (10.4=39) (10.13=202) (11.1=15) (11.2=26) (11.4=42) (11.5=43) (12.2=25) (12.4=45) (12.6=57) (13.7=63) (14.4=49) (14.6=53) (15.3=21) (15.5=51)

003 ... ... ... ... ... 137 138 139 140 141 142 143 168 169
... 001 130 ... ... ... ... ... 148 147 146 145 144 167 170
005 128 ... 224 223 ... ... 156 157 160 161 164 165 166 171
006 ... 126 ... 222 153 154 155 158 159 162 163 174 173 172
007 122 123 124 221 220 219 218 217 184 183 182 175 176 177
008 121 120 119 118 117 116 115 216 185 186 181 180 179 178
009 010 031 032 033 112 113 114 215 214 187 188 189 190 191
012 011 030 035 034 111 108 107 106 213 206 205 200 199 192
013 028 029 036 037 110 109 104 105 212 207 204 201 198 193
014 027 040 039 038 059 060 103 102 211 208 203 202 197 194
015 026 041 042 043 058 061 100 101 210 209 094 093 196 195
016 025 046 045 044 057 062 099 098 097 096 095 092 091 090
017 024 047 048 055 056 063 072 073 074 075 080 081 082 089
018 023 022 049 054 053 064 071 070 069 076 079 084 083 088
019 020 021 050 051 052 065 066 067 068 077 078 085 086 087

1.2:	  2 132
1.3:	  131 133
1.4:	  132 134
1.5:	  133 135
1.6:	  134 136
2.1:	  2 4
2.4:	  131 133 225
2.5:	  132 134
2.6:	  133 135 151
2.7:	  134 136 150
2.8:	  135 149
3.3:	  127 129 225
3.6:	  134 152
3.7:	  135 151
4.2:	* 127
4.4:	  125 225

# cel(len) met slechts 1 enkele kandidaat: (4.2=127)

003 ... ... ... ... ... 137 138 139 140 141 142 143 168 169
... 001 130 ... ... ... ... ... 148 147 146 145 144 167 170
005 128 ... 224 223 ... ... 156 157 160 161 164 165 166 171
006 127 126 ... 222 153 154 155 158 159 162 163 174 173 172
007 122 123 124 221 220 219 218 217 184 183 182 175 176 177
008 121 120 119 118 117 116 115 216 185 186 181 180 179 178
009 010 031 032 033 112 113 114 215 214 187 188 189 190 191
012 011 030 035 034 111 108 107 106 213 206 205 200 199 192
013 028 029 036 037 110 109 104 105 212 207 204 201 198 193
014 027 040 039 038 059 060 103 102 211 208 203 202 197 194
015 026 041 042 043 058 061 100 101 210 209 094 093 196 195
016 025 046 045 044 057 062 099 098 097 096 095 092 091 090
017 024 047 048 055 056 063 072 073 074 075 080 081 082 089
018 023 022 049 054 053 064 071 070 069 076 079 084 083 088
019 020 021 050 051 052 065 066 067 068 077 078 085 086 087

1.2:	  2 132
1.3:	  131 133
1.4:	  132 134
1.5:	  133 135
1.6:	  134 136
2.1:	  2 4
2.4:	  131 133 225
2.5:	  132 134
2.6:	  133 135 151
2.7:	  134 136 150
2.8:	  135 149
3.3:	* 129 225
3.6:	  134 152
3.7:	  135 151
4.4:	  125 225

# getal(len) slechts mogelijk in 1 enkele cel: (4.4=125) (3.3=129) (2.8=149) (2.7=150) (3.6=152) (2.4=225) (2.1=4)

003 ... ... ... ... ... 137 138 139 140 141 142 143 168 169
004 001 130 225 ... ... 150 149 148 147 146 145 144 167 170
005 128 129 224 223 152 ... 156 157 160 161 164 165 166 171
006 127 126 125 222 153 154 155 158 159 162 163 174 173 172
007 122 123 124 221 220 219 218 217 184 183 182 175 176 177
008 121 120 119 118 117 116 115 216 185 186 181 180 179 178
009 010 031 032 033 112 113 114 215 214 187 188 189 190 191
012 011 030 035 034 111 108 107 106 213 206 205 200 199 192
013 028 029 036 037 110 109 104 105 212 207 204 201 198 193
014 027 040 039 038 059 060 103 102 211 208 203 202 197 194
015 026 041 042 043 058 061 100 101 210 209 094 093 196 195
016 025 046 045 044 057 062 099 098 097 096 095 092 091 090
017 024 047 048 055 056 063 072 073 074 075 080 081 082 089
018 023 022 049 054 053 064 071 070 069 076 079 084 083 088
019 020 021 050 051 052 065 066 067 068 077 078 085 086 087

1.2:	  2 132
1.3:	  131 133
1.4:	  132 134
1.5:	  133 135
1.6:	  134 136
2.5:	* 134
2.6:	* 135 151
3.7:	* 151

# cel(len) met slechts 1 enkele kandidaat: (2.5=134) (1.4=132) (1.2=2) (1.6=136) (3.7=151) (2.6=135) (1.5=133) (1.3=131)

003 002 131 132 133 136 137 138 139 140 141 142 143 168 169
004 001 130 225 134 135 150 149 148 147 146 145 144 167 170
005 128 129 224 223 152 151 156 157 160 161 164 165 166 171
006 127 126 125 222 153 154 155 158 159 162 163 174 173 172
007 122 123 124 221 220 219 218 217 184 183 182 175 176 177
008 121 120 119 118 117 116 115 216 185 186 181 180 179 178
009 010 031 032 033 112 113 114 215 214 187 188 189 190 191
012 011 030 035 034 111 108 107 106 213 206 205 200 199 192
013 028 029 036 037 110 109 104 105 212 207 204 201 198 193
014 027 040 039 038 059 060 103 102 211 208 203 202 197 194
015 026 041 042 043 058 061 100 101 210 209 094 093 196 195
016 025 046 045 044 057 062 099 098 097 096 095 092 091 090
017 024 047 048 055 056 063 072 073 074 075 080 081 082 089
018 023 022 049 054 053 064 071 070 069 076 079 084 083 088
019 020 021 050 051 052 065 066 067 068 077 078 085 086 087

