9.7:	  33 67 69 71
9.8:	  32 68 70
9.9:	  69
9.10:	  18 20
9.12:	  8 10
9.13:	  7 9
10.3:	  58 60 62 64 66 68 70 72
10.4:	  39 59 65 67 69 71 73
10.5:	  36 38 66 68 70 72
10.7:	  32 34 68 70
10.9:	  30
10.10:	  13 21
10.11:	  12 14 16
11.1:	  53 55 59
11.2:	  56 58 60
11.4:	  38 40 60 66 68 70 72
11.6:	  34 36 38
11.7:	  33 69
11.8:	  28 30 32
11.10:	  14 22
11.12:	  8 10 12 14
11.13:	  1 5 7 9 13
12.1:	  52
12.2:	  59
12.3:	  60
12.5:	  38 40 42
12.6:	  39 43
12.8:	  27
12.9:	  26 28
12.11:	  14
12.12:	  1 9 13
12.13:	  2 4 8
13.2:	  50
13.3:	  49
13.5:	  39 47
13.6:	  46
13.8:	  26
13.9:	  25 27
13.11:	  1
13.12:	  2

# cel(len) met slechts 1 enkele kandidaat: (1.6=166) (1.11=161) (1.12=100) (2.5=136) (2.6=155) (2.11=160) (2.12=101) (2.13=98) (3.4=126) (3.10=150) (3.12=102) (3.13=97) (5.12=104) (5.13=95) (6.11=106) (6.12=105) (6.13=94) (7.11=91) (8.9=70) (8.11=18) (8.12=9) (8.13=8) (9.9=69) (8.8=71) (9.10=20) (9.12=10) (9.13=7) (10.9=30) (11.7=33) (9.7=67) (8.6=73) (9.5=65) (8.2=77) (9.1=55) (12.1=52) (12.2=59) (10.4=39) (11.1=53) (12.3=60) (12.6=43) (12.8=27) (12.11=14) (11.10=22) (11.12=12) (10.11=16) (13.2=50) (13.3=49) (13.5=47) (13.6=46) (13.8=26) (12.9=28) (11.8=32) (9.8=68) (6.1=120) (5.2=118) (8.7=72) (10.7=34) (9.6=66) (8.1=78) (8.5=74) (9.4=64) (8.3=76) (9.2=56) (11.2=58) (10.3=62) (13.9=25) (13.11=1) (12.12=13) (10.10=21) (11.13=5) (13.12=2) (12.13=4)

131 ... ... 168 ... 166 165 ... ... 162 161 100 099
... ... ... 135 136 155 156 ... ... 159 160 101 098
... ... 127 126 137 ... ... ... 151 150 149 102 097
122 123 ... ... ... 139 ... 143 ... ... ... 103 096
... 118 117 ... ... ... ... ... ... ... 147 104 095
120 ... ... 083 ... ... ... ... ... 107 106 105 094
079 080 ... ... ... ... 087 ... ... ... 091 092 093
078 077 076 075 074 073 072 071 070 019 018 009 008
055 056 063 064 065 066 067 068 069 020 017 010 007
054 057 062 039 ... 035 034 031 030 021 016 011 006
053 058 061 ... 037 ... 033 032 029 022 015 012 005
052 059 060 041 ... 043 044 027 028 023 014 013 004
051 050 049 048 047 046 045 026 025 024 001 002 003

1.2:	  130 132
1.3:	  129 133 169
1.5:	  167 169
1.8:	* 164
1.9:	* 163
2.1:	  130 132
2.2:	* 129 133
2.3:	* 128 134
2.8:	* 157
2.9:	* 158
3.1:	* 129
3.2:	* 128
3.6:	  138 140 154
3.7:	* 141 153
3.8:	* 142 152
4.3:	* 116 124
4.4:	  115 125
4.5:	* 114 138
4.7:	* 112 140 142
4.9:	  110 144
4.10:	* 109 145
4.11:	* 146 148
5.1:	* 119 121
5.4:	* 114 116
5.5:	* 113 115
5.6:	* 112 114 140
5.7:	  111 113 141
5.8:	  110 112 142 144
5.9:	  109 111 145
5.10:	* 108 110 146
6.2:	* 81 119
6.3:	* 82 116
6.5:	* 84 112 114
6.6:	* 85 111 113
6.7:	* 86 110 112
6.8:	  109 111
6.9:	  108 110
7.3:	* 81 115
7.4:	* 82 84 114
7.5:	* 85 113
7.6:	* 86 112
7.8:	* 88 110
7.9:	  89 109
7.10:	  90 108
10.5:	* 36 38
11.4:	* 38 40
11.6:	* 36
12.5:	* 42

# cel(len) met slechts 1 enkele kandidaat: (1.8=164) (1.9=163) (2.8=157) (2.9=158) (3.1=129) (2.2=133) (1.3=169) (1.5=167) (3.2=128) (2.3=134) (11.6=36) (10.5=38) (11.4=40) (12.5=42)

131 ... 169 168 167 166 165 164 163 162 161 100 099
... 133 134 135 136 155 156 157 158 159 160 101 098
129 128 127 126 137 ... ... ... 151 150 149 102 097
122 123 ... ... ... 139 ... 143 ... ... ... 103 096
... 118 117 ... ... ... ... ... ... ... 147 104 095
120 ... ... 083 ... ... ... ... ... 107 106 105 094
079 080 ... ... ... ... 087 ... ... ... 091 092 093
078 077 076 075 074 073 072 071 070 019 018 009 008
055 056 063 064 065 066 067 068 069 020 017 010 007
054 057 062 039 038 035 034 031 030 021 016 011 006
053 058 061 040 037 036 033 032 029 022 015 012 005
052 059 060 041 042 043 044 027 028 023 014 013 004
051 050 049 048 047 046 045 026 025 024 001 002 003

1.2:	* 132
2.1:	  130 132
3.6:	  138 140 154
3.7:	  141 153
3.8:	  142 152
4.3:	  116 124
4.4:	  115 125
4.5:	  114 138
4.7:	  112 140 142
4.9:	  110 144
4.10:	  109 145
4.11:	  146 148
5.1:	  119 121
5.4:	  114 116
5.5:	  113 115
5.6:	  112 114 140
5.7:	  111 113 141
5.8:	  110 112 142 144
5.9:	  109 111 145
5.10:	  108 110 146
6.2:	  81 119
6.3:	  82 116
6.5:	  84 112 114
6.6:	  85 111 113
6.7:	  86 110 112
6.8:	  109 111
6.9:	  108 110
7.3:	  81 115
7.4:	  82 84 114
7.5:	  85 113
7.6:	  86 112
7.8:	  88 110
7.9:	  89 109
7.10:	  90 108

# cel(len) met slechts 1 enkele kandidaat: (1.2=132) (2.1=130)

131 132 169 168 167 166 165 164 163 162 161 100 099
130 133 134 135 136 155 156 157 158 159 160 101 098
129 128 127 126 137 ... ... ... 151 150 149 102 097
122 123 ... ... ... 139 ... 143 ... ... ... 103 096
... 118 117 ... ... ... ... ... ... ... 147 104 095
120 ... ... 083 ... ... ... ... ... 107 106 105 094
079 080 ... ... ... ... 087 ... ... ... 091 092 093
078 077 076 075 074 073 072 071 070 019 018 009 008
055 056 063 064 065 066 067 068 069 020 017 010 007
054 057 062 039 038 035 034 031 030 021 016 011 006
053 058 061 040 037 036 033 032 029 022 015 012 005
052 059 060 041 042 043 044 027 028 023 014 013 004
051 050 049 048 047 046 045 026 025 024 001 002 003

3.6:	  138 140 154
3.7:	  141 153
3.8:	  142 152
4.3:	  116 124
4.4:	  115 125
4.5:	  114 138
4.7:	  112 140 142
4.9:	  110 144
4.10:	  109 145
4.11:	  146 148
5.1:	  119 121
5.4:	  114 116
5.5:	  113 115
5.6:	  112 114 140
5.7:	  111 113 141
5.8:	  110 112 142 144
5.9:	  109 111 145
5.10:	  108 110 146
6.2:	  81 119
6.3:	  82 116
6.5:	  84 112 114
6.6:	  85 111 113
6.7:	  86 110 112
6.8:	  109 111
6.9:	  108 110
7.3:	  81 115
7.4:	  82 84 114
7.5:	  85 113
7.6:	  86 112
7.8:	  88 110
7.9:	  89 109
7.10:	  90 108

# getal(len) slechts mogelijk in 1 enkele cel: (5.1=121) (4.3=124) (4.4=125) (4.11=148) (3.8=152) (3.7=153) (3.6=154) (7.8=88) (7.9=89) (7.10=90)

131 132 169 168 167 166 165 164 163 162 161 100 099
130 133 134 135 136 155 156 157 158 159 160 101 098
129 128 127 126 137 154 153 152 151 150 149 102 097
122 123 124 125 ... 139 ... 143 ... ... 148 103 096
121 118 117 ... ... ... ... ... ... ... 147 104 095
120 ... ... 083 ... ... ... ... ... 107 106 105 094
079 080 ... ... ... ... 087 088 089 090 091 092 093
078 077 076 075 074 073 072 071 070 019 018 009 008
055 056 063 064 065 066 067 068 069 020 017 010 007
054 057 062 039 038 035 034 031 030 021 016 011 006
053 058 061 040 037 036 033 032 029 022 015 012 005
052 059 060 041 042 043 044 027 028 023 014 013 004
051 050 049 048 047 046 045 026 025 024 001 002 003

4.5:	  114 138
4.7:	  112 140 142
4.9:	  110 144
4.10:	  109 145
5.4:	  114 116
5.5:	  113 115
5.6:	  112 114 140
5.7:	  111 113 141
5.8:	  110 112 142 144
5.9:	  109 111 145
5.10:	  108 110 146
6.2:	  81 119
6.3:	  82 116
6.5:	  84 112 114
6.6:	  85 111 113
6.7:	  86 110 112
6.8:	  109 111
6.9:	  108 110
7.3:	  81 115
7.4:	  82 84 114
7.5:	  85 113
7.6:	  86 112

# getal(len) slechts mogelijk in 1 enkele cel: (6.2=119) (4.5=138) (5.7=141) (5.10=146) (7.3=81)

131 132 169 168 167 166 165 164 163 162 161 100 099
130 133 134 135 136 155 156 157 158 159 160 101 098
129 128 127 126 137 154 153 152 151 150 149 102 097
122 123 124 125 138 139 ... 143 ... ... 148 103 096
121 118 117 ... ... ... 141 ... ... 146 147 104 095
120 119 ... 083 ... ... ... ... ... 107 106 105 094
079 080 081 ... ... ... 087 088 089 090 091 092 093
078 077 076 075 074 073 072 071 070 019 018 009 008
055 056 063 064 065 066 067 068 069 020 017 010 007
054 057 062 039 038 035 034 031 030 021 016 011 006
053 058 061 040 037 036 033 032 029 022 015 012 005
052 059 060 041 042 043 044 027 028 023 014 013 004
051 050 049 048 047 046 045 026 025 024 001 002 003

4.7:	* 140 142
4.9:	* 144
4.10:	* 145
5.4:	  114 116
5.5:	  113 115
5.6:	  112 114 140
5.8:	* 110 142 144
5.9:	* 109 145
6.3:	* 82
6.5:	  84 112 114
6.6:	  85 111 113
6.7:	  86 110 112
6.8:	  109 111
6.9:	  108 110
7.4:	* 82 84
7.5:	  85 113
7.6:	  86 112

# cel(len) met slechts 1 enkele kandidaat: (4.9=144) (4.10=145) (5.9=109) (6.3=82) (6.8=111) (7.4=84)

131 132 169 168 167 166 165 164 163 162 161 100 099
130 133 134 135 136 155 156 157 158 159 160 101 098
129 128 127 126 137 154 153 152 151 150 149 102 097
122 123 124 125 138 139 ... 143 144 145 148 103 096
121 118 117 ... ... ... 141 ... 109 146 147 104 095
120 119 082 083 ... ... ... 111 ... 107 106 105 094
079 080 081 084 ... ... 087 088 089 090 091 092 093
078 077 076 075 074 073 072 071 070 019 018 009 008
055 056 063 064 065 066 067 068 069 020 017 010 007
054 057 062 039 038 035 034 031 030 021 016 011 006
053 058 061 040 037 036 033 032 029 022 015 012 005
052 059 060 041 042 043 044 027 028 023 014 013 004
051 050 049 048 047 046 045 026 025 024 001 002 003

4.7:	  140 142
5.4:	* 116
5.5:	* 115
5.6:	* 114 140
5.8:	* 110 142
6.5:	* 114
6.6:	* 113
6.7:	* 112
6.9:	  108 110
7.5:	* 85
7.6:	* 86

# cel(len) met slechts 1 enkele kandidaat: (5.4=116) (5.5=115) (6.5=114) (5.6=140) (4.7=142) (5.8=110) (6.6=113) (6.7=112) (6.9=108) (7.5=85) (7.6=86)

131 132 169 168 167 166 165 164 163 162 161 100 099
130 133 134 135 136 155 156 157 158 159 160 101 098
129 128 127 126 137 154 153 152 151 150 149 102 097
122 123 124 125 138 139 142 143 144 145 148 103 096
121 118 117 116 115 140 141 110 109 146 147 104 095
120 119 082 083 114 113 112 111 108 107 106 105 094
079 080 081 084 085 086 087 088 089 090 091 092 093
078 077 076 075 074 073 072 071 070 019 018 009 008
055 056 063 064 065 066 067 068 069 020 017 010 007
054 057 062 039 038 035 034 031 030 021 016 011 006
053 058 061 040 037 036 033 032 029 022 015 012 005
052 059 060 041 042 043 044 027 028 023 014 013 004
051 050 049 048 047 046 045 026 025 024 001 002 003

